metric,value
frames_processed,900
avg_fps,52.03
median_fps,55.01
p5_fps_worst_5pct,32.52
avg_inference_ms,13.29
avg_annotation_ms,3.55
avg_total_frame_ms,20.39
unique_track_ids,126
avg_track_length_frames,27.9
median_track_length,6
max_track_length_frames,270
total_warning_events,1330
frames_with_warnings,577
detections_person,1918
detections_car,1229
detections_truck,263
detections_bus,68
detections_bicycle,38
detections_motorcycle,1
warnings_FRONT_OBJECT,619
warnings_PEDESTRIAN_RISK,526
warnings_VEHICLE_TOO_CLOSE,174
warnings_CYCLIST_RISK,11
avg_duration_frames_CYCLIST_RISK,3.7
avg_duration_frames_FRONT_OBJECT,20.6
avg_duration_frames_PEDESTRIAN_RISK,15.9
avg_duration_frames_VEHICLE_TOO_CLOSE,14.5
